Date,Media_Education_busqueda_mensual,Media_Investments_busqueda_mensual,Media_Jobs_busqueda_mensual,Media_Mortage_busqueda_mensual,Media_Unemployement_benefits_busqueda_mensual,Media_Unemployments_busqueda_mensual,Media_Welfare_busqueda_mensual
2014-01-31,33.78947368421053,29.0,73.0,16.842105263157894,5.2631578947368425,41.05263157894737,0.0
2014-02-28,31.42105263157895,31.473684210526315,67.05263157894737,8.473684210526315,5.894736842105263,38.10526315789474,13.066666666666666
2014-03-31,33.526315789473685,29.42105263157895,65.26315789473684,7.052631578947368,6.0,38.578947368421055,0.0
2014-04-30,31.894736842105264,30.34210526315789,62.89473684210526,13.578947368421051,3.0,36.21052631578947,0.0
2014-05-31,34.21052631578947,29.23684210526316,61.94736842105263,3.263157894736842,3.631578947368421,44.42105263157895,3.2666666666666666
2014-06-30,29.68421052631579,30.105263157894736,60.94736842105263,3.421052631578948,8.052631578947368,30.0,0.0
2014-07-31,26.894736842105264,30.473684210526315,66.6842105263158,8.157894736842104,0.0,27.789473684210527,0.0
2014-08-31,29.73684210526316,26.05263157894737,70.6842105263158,8.526315789473685,8.473684210526315,32.526315789473685,6.666666666666667
2014-09-30,37.526315789473685,33.1578947368421,73.6842105263158,11.578947368421051,14.578947368421051,34.05263157894737,0.0
2014-10-31,36.94736842105263,33.26315789473684,73.63157894736842,9.947368421052632,1.5263157894736843,38.42105263157895,0.0
2014-11-30,35.05263157894737,31.0,66.42105263157895,1.5789473684210529,10.421052631578949,36.94736842105263,6.666666666666667
2014-12-31,29.210526315789476,27.07894736842105,56.42105263157895,9.526315789473683,7.263157894736842,36.1578947368421,6.666666666666667
2015-01-31,34.94736842105263,28.05263157894737,73.15789473684211,7.526315789473684,2.473684210526316,38.42105263157895,0.0
2015-02-28,34.526315789473685,31.57894736842105,71.6842105263158,12.421052631578949,3.473684210526316,41.31578947368421,0.0
2015-03-31,36.63157894736842,32.526315789473685,71.47368421052632,5.578947368421052,4.526315789473684,43.94736842105263,0.0
2015-04-30,34.36842105263158,32.55263157894737,67.3157894736842,9.526315789473683,3.631578947368421,38.05263157894737,12.733333333333333
2015-05-31,34.78947368421053,30.789473684210527,65.63157894736842,10.789473684210526,3.3157894736842106,43.526315789473685,0.0
2015-06-30,31.73684210526316,31.473684210526315,67.10526315789474,8.631578947368421,1.1578947368421053,33.526315789473685,0.0
2015-07-31,26.157894736842103,28.94736842105263,68.84210526315789,12.263157894736842,1.5789473684210529,30.526315789473685,0.0
2015-08-31,29.0,27.31578947368421,67.94736842105263,21.31578947368421,8.263157894736842,27.84210526315789,0.0
2015-09-30,37.0,33.21052631578947,77.3157894736842,6.789473684210527,0.0,41.526315789473685,6.666666666666667
2015-10-31,36.8421052631579,34.13157894736842,71.6842105263158,15.052631578947368,11.894736842105264,36.578947368421055,0.0
2015-11-30,35.8421052631579,32.86842105263158,73.6842105263158,4.157894736842105,6.315789473684211,37.94736842105263,0.0
2015-12-31,29.789473684210527,28.657894736842103,63.31578947368421,4.2631578947368425,2.736842105263158,32.94736842105263,0.0
2016-01-31,35.73684210526316,27.526315789473685,83.3157894736842,10.157894736842104,4.7368421052631575,36.36842105263158,0.0
2016-02-29,36.10526315789474,31.07894736842105,80.3157894736842,12.157894736842104,12.263157894736842,39.68421052631579,0.0
2016-03-31,35.36842105263158,29.84210526315789,70.36842105263158,7.105263157894737,2.263157894736842,43.8421052631579,0.0
2016-04-30,36.10526315789474,31.05263157894737,68.05263157894737,11.157894736842104,3.3684210526315788,49.89473684210526,0.0
2016-05-31,35.68421052631579,31.94736842105263,66.52631578947368,12.736842105263158,0.0,47.42105263157895,0.0
2016-06-30,31.157894736842103,30.289473684210527,65.36842105263158,13.210526315789474,0.8947368421052632,33.8421052631579,6.533333333333333
2016-07-31,25.526315789473685,26.289473684210527,62.47368421052632,7.368421052631579,0.0,31.0,0.0
2016-08-31,28.42105263157895,26.94736842105263,68.05263157894737,23.36842105263158,1.4210526315789471,23.57894736842105,6.666666666666667
2016-09-30,38.47368421052632,33.55263157894737,75.6842105263158,4.473684210526316,3.3684210526315788,35.36842105263158,6.666666666666667
2016-10-31,36.05263157894737,31.68421052631579,70.0,17.57894736842105,5.2631578947368425,44.0,6.666666666666667
2016-11-30,37.42105263157895,32.6578947368421,65.36842105263158,9.421052631578949,9.473684210526317,49.05263157894737,0.0
2016-12-31,29.05263157894737,29.526315789473685,55.78947368421053,13.473684210526317,5.947368421052632,37.78947368421053,0.0
2017-01-31,34.526315789473685,31.05263157894737,70.63157894736842,5.368421052631579,7.263157894736842,45.0,0.0
2017-02-28,34.0,33.23684210526316,68.52631578947368,10.052631578947368,11.263157894736842,34.1578947368421,0.0
2017-03-31,36.21052631578947,34.13157894736842,66.42105263157895,15.36842105263158,8.631578947368421,45.63157894736842,4.333333333333333
2017-04-30,30.894736842105264,31.5,60.1578947368421,9.0,6.052631578947368,39.47368421052632,0.0
2017-05-31,33.26315789473684,31.86842105263158,61.578947368421055,5.157894736842105,3.1052631578947367,41.578947368421055,0.0
2017-06-30,28.73684210526316,32.05263157894737,60.31578947368421,14.0,6.894736842105263,33.31578947368421,0.0
2017-07-31,24.105263157894736,27.86842105263158,62.42105263157895,4.684210526315789,0.7368421052631579,26.84210526315789,0.0
2017-08-31,26.0,32.13157894736842,64.15789473684211,9.947368421052632,5.315789473684211,24.31578947368421,0.0
2017-09-30,34.94736842105263,35.6578947368421,68.15789473684211,13.36842105263158,8.842105263157896,30.31578947368421,0.0
