Date,Media_media_por_fila_Education,Media_media_por_fila_investments,Media_media_por_fila_Jobs,Media_media_por_fila_logistics,Media_media_por_fila_mortage,Media_media_por_fila_Unemployement benefits,Media_media_por_fila_unemployments,Media_media_por_fila_Welfare
2014-03-31,33.526315789473685,30.44736842105263,65.26315789473684,29.42105263157895,7.052631578947368,6.0,38.578947368421055,0.0
2014-06-30,29.68421052631579,27.63157894736842,60.94736842105263,30.105263157894736,3.421052631578948,8.052631578947368,30.0,0.0
2014-09-30,37.526315789473685,31.13157894736842,73.6842105263158,33.1578947368421,11.578947368421051,14.578947368421051,34.05263157894737,0.0
2014-12-31,29.210526315789476,28.657894736842103,56.42105263157895,27.07894736842105,9.526315789473683,7.263157894736842,36.1578947368421,6.666666666666667
2015-03-31,36.63157894736842,34.973684210526315,71.47368421052632,32.526315789473685,5.578947368421052,4.526315789473684,43.94736842105263,0.0
2015-06-30,31.73684210526316,30.789473684210527,67.10526315789474,31.473684210526315,8.631578947368421,1.1578947368421053,33.526315789473685,0.0
2015-09-30,37.0,31.68421052631579,77.3157894736842,33.21052631578947,6.789473684210527,0.0,41.526315789473685,6.666666666666667
2015-12-31,29.789473684210527,28.710526315789476,63.31578947368421,28.657894736842103,4.2631578947368425,2.736842105263158,32.94736842105263,0.0
2016-03-31,35.36842105263158,33.26315789473684,70.36842105263158,29.84210526315789,7.105263157894737,2.263157894736842,43.8421052631579,0.0
2016-06-30,31.157894736842103,31.86842105263158,65.36842105263158,30.289473684210527,13.210526315789474,0.8947368421052632,33.8421052631579,6.533333333333333
2016-09-30,38.47368421052632,34.5,75.6842105263158,33.55263157894737,4.473684210526316,3.3684210526315788,35.36842105263158,6.666666666666667
2016-12-31,29.05263157894737,29.84210526315789,55.78947368421053,29.526315789473685,13.473684210526317,5.947368421052632,37.78947368421053,0.0
2017-03-31,36.21052631578947,34.6578947368421,66.42105263157895,34.13157894736842,15.36842105263158,8.631578947368421,45.63157894736842,4.333333333333333
2017-06-30,28.73684210526316,31.157894736842103,60.31578947368421,32.05263157894737,14.0,6.894736842105263,33.31578947368421,0.0
2017-09-30,34.94736842105263,31.81578947368421,68.15789473684211,35.6578947368421,13.36842105263158,8.842105263157896,30.31578947368421,0.0
2017-12-31,27.26315789473684,31.789473684210527,49.578947368421055,31.86842105263158,7.7894736842105265,5.631578947368421,30.36842105263158,0.0
2018-03-31,32.21052631578947,32.78947368421053,63.0,35.81578947368421,13.526315789473683,5.2631578947368425,36.05263157894737,0.0
2018-06-30,28.26315789473684,30.0,59.42105263157895,33.578947368421055,9.68421052631579,9.157894736842104,35.63157894736842,0.0
2018-09-30,33.78947368421053,33.89473684210526,69.36842105263158,34.921052631578945,6.526315789473684,11.947368421052632,35.8421052631579,6.666666666666667
2018-12-31,26.94736842105263,27.157894736842103,54.26315789473684,29.57894736842105,6.578947368421052,3.0,31.63157894736842,0.0
2019-03-31,42.526315789473685,33.86842105263158,68.52631578947368,34.578947368421055,9.789473684210526,8.947368421052632,40.526315789473685,0.0
2019-06-30,34.21052631578947,31.73684210526316,65.21052631578948,33.39473684210526,7.7894736842105265,3.526315789473684,36.89473684210526,4.6
2019-09-30,39.578947368421055,35.36842105263158,75.6842105263158,36.42105263157895,17.473684210526315,2.1578947368421053,37.68421052631579,0.0
2019-12-31,32.0,29.55263157894737,57.0,32.13157894736842,7.368421052631579,5.368421052631579,26.210526315789476,0.0
2020-03-31,57.10526315789474,30.973684210526315,52.26315789473684,31.894736842105264,11.947368421052632,24.473684210526315,64.94736842105263,4.133333333333334
2020-06-30,37.8421052631579,32.3421052631579,61.68421052631579,34.94736842105263,12.052631578947368,19.26315789473684,56.26315789473684,0.0
2020-09-30,41.89473684210526,34.73684210526316,68.3157894736842,37.81578947368421,20.210526315789476,9.789473684210526,48.26315789473684,3.2666666666666666
2020-12-31,32.73684210526316,31.026315789473685,45.78947368421053,35.31578947368421,14.263157894736842,11.0,37.36842105263158,4.4
2021-03-31,37.10526315789474,37.3421052631579,56.526315789473685,37.68421052631579,18.26315789473684,6.947368421052632,36.68421052631579,4.466666666666667
2021-06-30,31.31578947368421,32.89473684210526,52.578947368421055,35.78947368421053,14.31578947368421,9.263157894736842,31.526315789473685,0.0
2021-09-30,95.73684210526316,35.31578947368421,60.47368421052632,38.0,3.789473684210526,4.947368421052632,28.84210526315789,0.0
2021-12-31,35.473684210526315,33.36842105263158,48.31578947368421,36.31578947368421,13.473684210526317,2.736842105263158,26.68421052631579,5.066666666666666
2022-03-31,42.94736842105263,41.1578947368421,67.0,42.0,23.57894736842105,10.36842105263158,44.42105263157895,0.0
2022-06-30,36.42105263157895,34.36842105263158,61.526315789473685,37.89473684210526,22.84210526315789,5.473684210526316,29.26315789473684,0.0
2022-09-30,40.78947368421053,36.526315789473685,68.94736842105263,40.10526315789474,21.26315789473684,8.368421052631579,29.42105263157895,0.0
2022-12-31,34.526315789473685,31.44736842105263,54.42105263157895,36.76315789473684,15.36842105263158,12.0,29.63157894736842,0.0
2023-03-31,39.89473684210526,40.60526315789474,69.36842105263158,39.05263157894737,29.36842105263158,13.052631578947368,36.63157894736842,0.0
2023-06-30,34.578947368421055,36.92105263157895,65.42105263157895,37.89473684210526,20.94736842105263,21.57894736842105,32.73684210526316,0.0
2023-09-30,81.21052631578948,38.68421052631579,73.57894736842105,38.94736842105263,22.0,17.94736842105263,38.42105263157895,11.2
2023-12-31,36.78947368421053,36.36842105263158,57.8421052631579,37.578947368421055,17.526315789473685,13.36842105263158,35.578947368421055,0.0
2024-03-31,40.10526315789474,44.28947368421053,71.21052631578948,40.3421052631579,21.894736842105264,23.36842105263158,40.26315789473684,6.666666666666667
2024-06-30,37.78947368421053,42.94736842105263,76.21052631578948,40.86842105263158,38.26315789473684,31.36842105263158,42.36842105263158,0.0
