datetime,Media_volumen_intensity_Education,Media_Volume_intensity_Enterprise,Media_Volume_intensity_Financial_inclusion,Media_Volume_intensity_Health_Service,Media_Volume_intensity_Inclusive_Growth,Media_Volume_intensity_Social_inclusion,Media_average_tone_Education,Media_Average_tone_Enterprise_Development,Media_Average_tone_Financial_Inclusion,Media_Average_tone_Health_Service,Media_Average_tone_Inclusive_Growth,Media_Average_tone_Social_inclusion
2017-01-31 00:00:00+00:00,0.0021368421052631,0.0003736842105263,0.0003999999999999,0.0326631578947368,0.0015263157894736,0.0165263157894736,-4.047778947368421,3.6720947368421055,0.9550052631578948,-3.134963157894737,0.7927315789473685,0.280136842105263
2017-02-28 00:00:00+00:00,0.0020947368421052,0.0005368421052631,0.0003,0.0292157894736842,0.0009894736842105,0.0137473684210526,-4.251689473684211,4.221805263157894,3.4189210526315783,-3.644742105263157,3.0665894736842105,0.6697368421052629
2017-03-31 00:00:00+00:00,0.0027894736842105,0.0006315789473684,0.0004947368421052,0.0375157894736842,0.0013842105263157,0.0195368421052631,-9.263563157894737,5.326442105263157,5.087336842105263,-10.66312105263158,7.07671052631579,3.958305263157895
2017-04-30 00:00:00+00:00,0.0024105263157894,0.0005473684210526,0.0005421052631578,0.0330105263157894,0.0016894736842105,0.0174210526315789,-1.9400105263157887,3.8830578947368415,3.712236842105263,-4.871815789473684,2.563178947368421,2.432684210526316
2017-05-31 00:00:00+00:00,0.0021105263157894,0.0007052631578947,0.0005631578947368,0.0517105263157894,0.0077105263157894,0.0188157894736842,-2.871252631578947,4.308063157894737,0.5675631578947369,-22.22317894736842,1.172721052631579,5.180226315789474
2017-06-30 00:00:00+00:00,0.0030842105263157,0.0008684210526315,0.0004526315789473,0.0395421052631578,0.0013421052631578,0.0186473684210526,-3.768931578947369,3.2247789473684207,3.4594473684210527,-13.18692105263158,7.629805263157894,3.728142105263158
2017-07-31 00:00:00+00:00,0.002657894736842,0.0007526315789473,0.0008157894736842,0.0358052631578947,0.0017315789473684,0.0161157894736842,-1.6578736842105264,3.335473684210528,5.422105263157895,-6.504005263157895,2.446694736842105,1.6342631578947369
2017-08-31 00:00:00+00:00,0.0019578947368421,0.0006736842105263,0.0004052631578947,0.0296736842105263,0.0006368421052631,0.0112736842105263,-1.6355736842105262,3.119878947368421,0.6686315789473685,-9.5191,2.396484210526316,-0.3493157894736837
2017-09-30 00:00:00+00:00,0.0030473684210526,0.0007947368421052,0.0006421052631578,0.0349684210526315,0.0012052631578947,0.0176473684210526,-3.402652631578948,2.710147368421053,5.2153,-9.16814210526316,5.702473684210527,4.706105263157896
2017-10-31 00:00:00+00:00,0.0027526315789473,0.0008368421052631,0.0007263157894736,0.0349473684210526,0.0019578947368421,0.0177894736842105,-4.337084210526316,3.511163157894737,5.981531578947368,-10.077763157894736,6.875173684210526,5.822773684210525
2017-11-30 00:00:00+00:00,0.0033263157894736,0.0011052631578947,0.0006368421052631,0.0351,0.0023210526315789,0.020957894736842,-2.844315789473684,6.495768421052631,5.079763157894737,-7.083710526315789,4.424552631578947,1.4851473684210523
2017-12-31 00:00:00+00:00,0.0027947368421052,0.0014421052631578,0.0007315789473684,0.0336210526315789,0.001378947368421,0.017657894736842,-2.5643894736842103,4.689621052631579,2.5174684210526315,-3.9492368421052633,5.388184210526316,6.916763157894738
2018-01-31 00:00:00+00:00,0.0022263157894736,0.0009157894736842,0.0005210526315789,0.0353842105263157,0.0014263157894736,0.0164526315789473,-3.825436842105263,4.416131578947369,3.111615789473684,-11.878357894736844,1.2840684210526314,1.9019263157894728
2018-02-28 00:00:00+00:00,0.0028157894736842,0.0007421052631578,0.0006105263157894,0.0375999999999999,0.0009263157894736,0.0159052631578947,-2.538789473684211,3.348568421052631,3.910847368421052,-5.338199999999999,1.4157684210526318,4.534042105263158
2018-03-31 00:00:00+00:00,0.0033052631578947,0.0011,0.0008842105263157,0.0377,0.0011736842105263,0.0176526315789473,-2.5609578947368417,4.236763157894738,5.531931578947369,-6.986605263157895,4.091215789473685,5.8678
2018-04-30 00:00:00+00:00,0.0026894736842105,0.0008210526315789,0.0005105263157894,0.0338842105263157,0.0017105263157894,0.0173421052631578,-1.468321052631579,3.08508947368421,2.887115789473684,-7.674426315789475,5.368957894736842,4.090889473684211
2018-05-31 00:00:00+00:00,0.0025631578947368,0.0005105263157894,0.0006684210526315,0.0392421052631578,0.0015999999999999,0.0206684210526315,-2.1816473684210527,2.4895894736842106,2.7389631578947373,-7.333015789473683,4.8688473684210525,6.2418000000000005
2018-06-30 00:00:00+00:00,0.0037684210526315,0.0006210526315789,0.0007157894736842,0.0379210526315789,0.0023894736842105,0.0237947368421052,-1.2387842105263158,4.713431578947369,4.620621052631579,0.0558263157894737,3.795042105263158,4.64972105263158
2018-07-31 00:00:00+00:00,0.0021210526315789,0.0004157894736842,0.0006157894736842,0.0360473684210526,0.0016263157894736,0.0163052631578947,-4.778778947368421,2.486047368421053,3.961515789473685,-6.669536842105264,4.128557894736842,2.6540263157894737
2018-08-31 00:00:00+00:00,0.0035315789473684,0.0003105263157894,0.000478947368421,0.0348105263157894,0.001078947368421,0.0114,-6.860563157894736,2.9959842105263155,2.3229578947368417,-11.51744736842105,3.5810473684210526,4.647742105263159
2018-09-30 00:00:00+00:00,0.0035999999999999,0.0005,0.0007526315789473,0.0369105263157894,0.0014736842105263,0.0176210526315789,-0.933568421052632,3.4254631578947365,5.844447368421052,-9.553973684210527,5.0344263157894735,5.408157894736843
